Red (0-255),Green (0-255),Blue (0-255),Hue (0-360),Saturation (0-100),Lightness (0-100),Cyan (0-100),Magenta (0-100),Yellow (0-100),Key (0-100),IndexRGB,IndexHSL,IndexCMYK,Image,Batch_No.,CPC concentration (mg/ml),Day
166,215,175,131,38,74,23,0,18,15,10935479,1344507,23698756,DSC_6063.JPG,2,0.076,2
165,214,175,131,37,74,22,0,18,15,10909084,1343546,22668455,DSC_6064.JPG,2,0.076,2
166,216,177,132,39,75,23,0,18,15,10978838,1352775,23698756,DSC_6065.JPG,2,0.076,2
166,216,176,132,39,75,22,0,18,15,10975655,1347337,22668455,DSC_6066.JPG,2,0.076,2
166,216,176,132,38,75,22,0,18,15,10964220,1347099,22668455,DSC_6067.JPG,2,0.076,2
165,215,175,132,38,74,22,0,18,15,10932901,1348136,22668455,DSC_6068.JPG,2,0.076,2
165,215,176,132,38,74,22,0,18,15,10932352,1348061,22668455,DSC_6069.JPG,2,0.076,2
165,215,175,131,38,74,22,0,18,15,10921116,1345793,22668455,DSC_6070.JPG,2,0.076,2
166,215,175,131,38,74,22,0,18,15,10937215,1345231,22668455,DSC_6071.JPG,2,0.076,2
165,215,175,132,38,74,22,0,18,15,10923498,1346825,22668455,DSC_6072.JPG,2,0.076,2
165,214,175,131,38,74,23,0,18,15,10900567,1346387,23698756,DSC_6073.JPG,2,0.076,2
166,215,175,131,38,74,22,0,18,15,10935383,1341484,22668455,DSC_6074.JPG,2,0.076,2
165,215,175,131,38,74,22,0,18,15,10930389,1340782,22668455,DSC_6075.JPG,2,0.076,2
165,215,175,131,38,74,22,0,18,15,10934010,1337244,22668455,DSC_6076.JPG,2,0.076,2
165,215,174,131,38,74,22,0,18,15,10916915,1336477,22668455,DSC_6077.JPG,2,0.076,2
166,215,175,130,38,74,22,0,18,15,10960453,1333958,22668455,DSC_6078.JPG,2,0.076,2
166,215,174,130,38,74,22,0,18,15,10954570,1330375,22668455,DSC_6079.JPG,2,0.076,2
166,215,175,130,38,74,22,0,18,15,10982795,1328777,22668455,DSC_6080.JPG,2,0.076,2
166,215,175,130,38,75,22,0,18,15,10995331,1328890,22668455,DSC_6081.JPG,2,0.076,2
167,215,175,130,38,75,22,0,18,15,11000811,1328602,22668455,DSC_6082.JPG,2,0.076,2
164,217,181,138,41,74,24,0,16,14,10859929,1417223,24728854,DSC_6083.JPG,2,0.076,2
164,218,181,138,42,75,24,0,17,14,10829429,1414829,24728955,DSC_6084.JPG,2,0.076,2
165,220,182,138,44,75,24,0,17,13,10919134,1414478,24728954,DSC_6085.JPG,2,0.076,2
167,220,183,138,44,76,24,0,16,13,11004313,1410781,24728853,DSC_6086.JPG,2,0.076,2
166,220,182,138,43,75,24,0,17,13,10965418,1410094,24728954,DSC_6087.JPG,2,0.076,2
166,220,183,138,44,75,24,0,17,13,10971326,1410942,24728954,DSC_6088.JPG,2,0.076,2
167,221,183,138,44,76,24,0,17,13,11004806,1410158,24728954,DSC_6089.JPG,2,0.076,2
167,221,183,138,44,76,24,0,17,13,11023968,1408058,24728954,DSC_6090.JPG,2,0.076,2
170,223,186,137,45,77,23,0,16,12,11246559,1404593,23698551,DSC_6091.JPG,2,0.076,2
175,226,190,137,47,78,22,0,16,11,11562099,1398303,22668249,DSC_6092.JPG,2,0.076,2
179,228,192,136,47,79,21,0,15,10,11805439,1393278,21637846,DSC_6093.JPG,2,0.076,2
176,227,190,137,47,79,22,0,16,10,11618341,1397838,22668249,DSC_6094.JPG,2,0.076,2
180,228,194,136,48,80,21,0,15,10,11900229,1393537,21637846,DSC_6095.JPG,2,0.076,2
187,232,199,136,50,82,19,0,14,8,12357708,1387658,19577141,DSC_6096.JPG,2,0.076,2
187,234,199,135,52,82,19,0,14,8,12355638,1386904,19577141,DSC_6097.JPG,2,0.076,2
184,232,197,135,51,81,20,0,15,8,12177185,1387210,20607543,DSC_6098.JPG,2,0.076,2
178,229,192,136,50,80,22,0,15,9,11771845,1394900,22668147,DSC_6099.JPG,2,0.076,2
181,230,194,136,50,80,21,0,15,9,11933275,1392545,21637845,DSC_6100.JPG,2,0.076,2
188,234,200,135,52,83,19,0,14,7,12429353,1383783,19577141,DSC_6101.JPG,2,0.076,2
187,234,199,135,52,82,19,0,14,8,12356146,1385904,19577141,DSC_6102.JPG,2,0.076,2
176,223,191,139,42,78,20,0,14,12,11649429,1418778,20607446,DSC_6103.JPG,2,0.076,2
175,222,190,139,41,77,21,0,14,12,11545432,1419587,21637747,DSC_6104.JPG,2,0.076,2
175,222,190,139,41,78,21,0,14,12,11563971,1423255,21637747,DSC_6105.JPG,2,0.076,2
175,222,191,139,42,78,21,0,14,12,11567793,1423694,21637747,DSC_6106.JPG,2,0.076,2
176,222,191,139,42,78,21,0,14,12,11599652,1424851,21637747,DSC_6107.JPG,2,0.076,2
175,222,191,139,41,78,21,0,14,12,11561555,1425664,21637747,DSC_6108.JPG,2,0.076,2
174,222,190,139,41,77,21,0,14,12,11504906,1427717,21637748,DSC_6109.JPG,2,0.076,2
173,221,189,140,41,77,21,0,14,13,11428961,1428492,21637748,DSC_6110.JPG,2,0.076,2
173,221,189,140,41,77,21,0,14,13,11414247,1429806,21637748,DSC_6111.JPG,2,0.076,2
172,220,188,140,41,77,21,0,14,13,11358990,1429170,21637748,DSC_6112.JPG,2,0.076,2
172,220,188,140,41,77,21,0,14,13,11372549,1430036,21637748,DSC_6113.JPG,2,0.076,2
172,220,188,140,41,77,21,0,14,13,11376503,1429377,21637748,DSC_6114.JPG,2,0.076,2
172,220,188,140,41,77,21,0,14,13,11361368,1429541,21637748,DSC_6115.JPG,2,0.076,2
173,221,189,139,41,77,21,0,14,13,11423778,1428175,21637748,DSC_6116.JPG,2,0.076,2
174,221,189,139,41,77,21,0,14,12,11468067,1427111,21637748,DSC_6117.JPG,2,0.076,2
173,221,189,139,41,77,21,0,14,13,11455167,1427988,21637748,DSC_6118.JPG,2,0.076,2
173,221,189,140,41,77,21,0,14,13,11423018,1428458,21637748,DSC_6119.JPG,2,0.076,2
172,220,188,140,41,77,21,0,14,13,11364732,1428297,21637748,DSC_6120.JPG,2,0.076,2
171,220,188,140,41,76,21,0,14,13,11320176,1429330,21637748,DSC_6121.JPG,2,0.076,2
171,220,188,140,41,76,22,0,14,13,11325027,1429517,22668049,DSC_6122.JPG,2,0.076,2
159,227,178,136,54,75,29,0,21,10,10529570,1394296,29880861,DSC_6123.JPG,2,0.076,2
